# convergence data
# read data in Python with:
#     import pandas as pd
#     df = pd.read_csv(open('./paperfig_data/convergence.csv'), index_col=0, header=[4,5])
category,independent,independent,independent,independent,independent,independent,independent,independent,rho,cross,cross,cross,cross,cross,cross,cross
n_trajs,1,2,4,8,16,32,64,128,1,2,4,8,16,32,64,128
iter,,,,,,,,,,,,,,,,
770,0.0031165083427787676,0.003184615782817146,0.003182571208954932,0.003152333011486208,0.0031771861600948803,0.0031765959511372843,0.0031690620030440098,0.003168722422057235,0.002254445449553666,0.002268035507882016,0.0022149977513775676,0.0022396563706563732,0.0022337455881981105,0.0022396970476903366,0.002239373095109576,0.0022382705682467696
780,0.0030700719758418593,0.0031363898768508314,0.003131848168140716,0.0031048490058303013,0.003128620924970904,0.003127263800013713,0.0031206103616314707,0.0031206383900032053,0.002248201094960489,0.0022623191191861736,0.0022095440428373525,0.0022340268076884717,0.002228126144095066,0.002234063624000693,0.00223375617539201,0.002232659677157689
790,0.003026911886479855,0.0030915852918540487,0.0030847313014337185,0.0030607183385176207,0.0030834933861683123,0.0030814000123576823,0.003075827776158002,0.003075626228562056,0.0022420954188938635,0.0022566914278988603,0.0022040603068120834,0.002228487096548437,0.002222618810623578,0.0022285195536322355,0.0022282294436705152,0.0022271253470876884
800,0.0029867860231542753,0.0030499444922779118,0.003040951601241959,0.00301969352041076,0.003041549085408768,0.003038754356073037,0.0030338229616208023,0.0030340888651956277,0.0022361169239216716,0.0022511490550812807,0.0021986696093768687,0.0022230329728493148,0.0022171885363760913,0.0022230607927428148,0.0022227924256117415,0.002221677668487354
810,0.00294946859084233,0.0030112289026034134,0.003000259467057176,0.0029815436070366186,0.0030025508537770973,0.002999095771068605,0.002994884716538415,0.0029953930921486904,0.0022302556455728872,0.0022456882516294074,0.0021933630393613512,0.0022176602275962853,0.002211854216971676,0.0022176946945420273,0.0022174336905553815,0.002216309600328925
820,0.0029147491689356375,0.002975217277411235,0.0029624231145757296,0.002946053321503883,0.002966675836629795,0.0029623928735273974,0.002958752560164424,0.002959222182959853,0.0022245029111418457,0.0022403052833398496,0.0021881345298266908,0.0022123648799066142,0.0022065679495480994,0.0022124130332962233,0.0022121442894686982,0.002211015401418326
830,0.0028824318653963843,0.002941704353504604,0.002927227243896713,0.0029130222072002443,0.002932885960679865,0.002927835455129202,0.002925071759642628,0.0029255247939991014,0.0022188511386945775,0.0022349965896052426,0.0021829794962238136,0.0022071432327124274,0.002201356382740327,0.002207186190237742,0.002206923321097509,0.0022058043683389483
840,0.002852334500682563,0.002910499694270041,0.0028944718869671204,0.0028822638062224737,0.0029014300951494265,0.0028956745756637536,0.0028938408660541537,0.0028940996314676948,0.0022132936694755356,0.0022297588388731082,0.002177942877101713,0.0022019918773222846,0.0021962256914489497,0.0022020407901045536,0.0022017848810453877,0.0022006638781533194
850,0.0028242878186872655,0.002881426668700504,0.002863971381712793,0.002854242999187795,0.0028726245818786467,0.0028662379003405736,0.0028645204141145575,0.0028648815353146118,0.0022078246280150537,0.002224588938092853,0.0021729878436523853,0.0021969530662266923,0.0021911897919133505,0.0021969518219149275,0.002196705610102434,0.002195583177939886
860,0.002798134723704271,0.0028543215273764133,0.002835553438662486,0.0028274590058513516,0.002845717245438917,0.0028382890638249947,0.0028373824963465744,0.0028376149871724987,0.0022024388052468424,0.002219484022862872,0.0021680737071991807,0.0021919680425558363,0.002186183082397042,0.0021919500691942595,0.0021916842710621998,0.0021905714741680127
870,0.0027737295436518483,0.0028290325517951187,0.002809058278089638,0.002803027223784338,0.0028204339909533305,0.0028122305628469624,0.002811882520341924,0.0028124382139406157,0.0021971315608295683,0.0022144414403555412,0.0021631948130858003,0.0021870891995008357,0.0021812349323094837,0.0021870127685135188,0.0021867199963019335,0.002185612727363173
